temperature,humidity,rainfall,wind_speed,month,crop,region,state,latitude,longitude,pesticide_applications,past_disease_occurrences,disease,severity,is_diseased
18.9,70.6,5.3,5.6,2,Tomato,Hyderabad,Telangana,17.38,78.47,4,2,Tomato___healthy,0.0,0
23.3,80.2,3.6,14.4,1,Tomato,Lucknow,Uttar Pradesh,26.85,80.94,2,3,Tomato___Early_blight,46.4,1
31.2,80.3,82.1,8.9,6,Tomato,Patna,Bihar,25.59,85.13,1,0,Tomato___Late_blight,79.5,1
28.9,71.2,5.3,11.2,12,Cherry,Ahmedabad,Gujarat,23.02,72.57,1,0,Cherry_(including_sour)___healthy,0.0,0
36.6,62.9,13.1,18.2,4,Tomato,Bhopal,Madhya Pradesh,23.25,77.41,0,0,Tomato___Tomato_mosaic_virus,68.9,1
22.7,84.0,5.9,6.7,2,Pepper,Surat,Gujarat,21.17,72.83,0,2,"Pepper,_bell___Bacterial_spot",56.8,1
27.5,58.6,131.1,6.5,7,Tomato,Jodhpur,Rajasthan,26.29,73.01,4,1,Tomato___Bacterial_spot,45.6,1
28.5,72.2,39.1,13.4,9,Grape,Aurangabad,Maharashtra,19.87,75.34,8,0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),35.1,1
26.3,66.5,129.5,6.6,8,Grape,Ahmedabad,Gujarat,23.02,72.57,5,0,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),61.2,1
24.9,67.6,6.3,2.7,2,Tomato,Warangal,Telangana,17.97,79.59,4,3,Tomato___healthy,0.0,0
30.1,80.6,60.7,11.9,7,Apple,Nagpur,Maharashtra,21.14,79.08,0,2,Apple___Black_rot,82.0,1
37.9,59.6,12.4,8.1,5,Apple,Warangal,Telangana,17.97,79.59,0,0,Apple___Apple_scab,68.9,1
32.1,72.5,35.7,10.6,10,Tomato,Ahmedabad,Gujarat,23.02,72.57,3,2,Tomato___Septoria_leaf_spot,30.8,1
25.0,78.0,110.6,1.5,9,Strawberry,Pune,Maharashtra,18.52,73.85,0,1,Strawberry___healthy,0.0,0
28.3,84.7,84.8,2.2,6,Strawberry,Ranchi,Jharkhand,23.34,85.31,2,5,Strawberry___Leaf_scorch,53.4,1
30.5,83.9,57.6,6.2,6,Tomato,Coimbatore,Tamil Nadu,11.01,76.96,2,3,Tomato___Late_blight,74.7,1
22.1,65.9,35.8,11.6,10,Strawberry,Mysore,Karnataka,12.29,76.64,1,1,Strawberry___healthy,0.0,0
22.6,74.2,9.5,8.9,3,Strawberry,Pune,Maharashtra,18.52,73.85,5,3,Strawberry___Leaf_scorch,55.5,1
16.5,72.1,4.6,7.8,1,Soybean,Jalandhar,Punjab,31.32,75.57,2,1,Soybean___healthy,0.0,0
23.1,77.5,4.7,7.7,1,Peach,Aurangabad,Maharashtra,19.87,75.34,1,2,Peach___healthy,0.0,0
30.2,64.5,39.4,9.7,9,Apple,Jaipur,Rajasthan,26.91,75.79,1,0,Apple___Apple_scab,57.3,1
19.5,76.0,2.4,5.7,1,Soybean,Bangalore,Karnataka,12.97,77.59,0,2,Soybean___healthy,0.0,0
27.5,76.4,90.7,8.1,8,Soybean,Gaya,Bihar,24.79,84.99,4,1,Soybean___healthy,0.0,0
24.6,85.1,140.7,1.1,7,Tomato,Warangal,Telangana,17.97,79.59,9,3,Tomato___Bacterial_spot,43.9,1
25.5,83.9,42.9,9.4,9,Tomato,Varanasi,Uttar Pradesh,25.31,82.97,0,0,Tomato___Leaf_Mold,57.6,1
22.8,79.3,8.8,15.8,11,Raspberry,Gaya,Bihar,24.79,84.99,3,3,Raspberry___healthy,0.0,0
35.0,69.9,5.1,11.0,4,Apple,Patna,Bihar,25.59,85.13,2,1,Apple___Apple_scab,70.0,1
25.7,83.8,104.0,8.0,8,Tomato,Surat,Gujarat,21.17,72.83,0,2,Tomato___Spider_mites Two-spotted_spider_mite,61.5,1
31.8,66.9,7.6,8.2,3,Apple,Solapur,Maharashtra,17.66,75.9,3,1,Apple___Apple_scab,66.0,1
26.9,80.3,167.6,9.8,8,Tomato,Ahmedabad,Gujarat,23.02,72.57,7,1,Tomato___Target_Spot,45.5,1
21.3,77.2,91.3,6.5,9,Grape,Bangalore,Karnataka,12.97,77.59,5,4,Grape___Esca_(Black_Measles),60.0,1
30.0,52.6,146.1,12.3,7,Tomato,Jodhpur,Rajasthan,26.29,73.01,2,1,Tomato___healthy,0.0,0
28.4,75.3,11.3,10.1,3,Tomato,Ahmedabad,Gujarat,23.02,72.57,1,4,Tomato___Spider_mites Two-spotted_spider_mite,38.0,1
19.6,86.9,175.7,8.5,8,Peach,Ranchi,Jharkhand,23.34,85.31,0,2,Peach___Bacterial_spot,71.9,1
37.4,58.6,11.0,9.5,4,Apple,Ahmedabad,Gujarat,23.02,72.57,2,1,Apple___Cedar_apple_rust,51.0,1
18.0,72.7,3.0,6.7,12,Raspberry,Nashik,Maharashtra,19.99,73.79,1,0,Raspberry___healthy,0.0,0
26.2,57.3,10.2,7.4,11,Raspberry,Jodhpur,Rajasthan,26.29,73.01,3,0,Raspberry___healthy,0.0,0
30.8,87.0,98.0,1.6,9,Tomato,Kolkata,West Bengal,22.57,88.36,4,1,Tomato___Bacterial_spot,68.4,1
23.2,90.4,6.2,8.7,11,Tomato,Kolkata,West Bengal,22.57,88.36,4,1,Tomato___Spider_mites Two-spotted_spider_mite,36.3,1
20.3,73.9,30.2,9.8,10,Tomato,Amritsar,Punjab,31.63,74.87,0,4,Tomato___Tomato_Yellow_Leaf_Curl_Virus,74.5,1
36.5,91.4,71.6,11.7,6,Cherry,Chennai,Tamil Nadu,13.08,80.27,2,1,Cherry_(including_sour)___Powdery_mildew,50.3,1
28.3,75.1,9.7,7.9,3,Raspberry,Bangalore,Karnataka,12.97,77.59,0,0,Raspberry___healthy,0.0,0
17.8,88.4,16.0,11.6,4,Tomato,Shimla,Himachal Pradesh,31.1,77.17,1,4,Tomato___Tomato_mosaic_virus,74.6,1
24.8,66.1,2.3,7.8,2,Raspberry,Agra,Uttar Pradesh,27.17,78.01,5,0,Raspberry___healthy,0.0,0
21.9,84.9,101.8,9.8,6,Tomato,Bangalore,Karnataka,12.97,77.59,4,0,Tomato___Bacterial_spot,48.9,1
34.9,63.6,13.5,10.3,4,Apple,Solapur,Maharashtra,17.66,75.9,1,2,Apple___Apple_scab,71.9,1
39.0,74.1,15.9,4.5,5,Cherry,Hyderabad,Telangana,17.38,78.47,2,1,Cherry_(including_sour)___Powdery_mildew,35.5,1
35.8,84.4,116.7,10.2,6,Tomato,Agra,Uttar Pradesh,27.17,78.01,2,5,Tomato___Target_Spot,58.7,1
