temperature,humidity,rainfall,wind_speed,month,crop,region,state,latitude,longitude,pesticide_applications,past_disease_occurrences,leaf_wetness_hours,consecutive_wet_days,soil_moisture,night_temperature,days_since_rain,morning_dew_hours,soil_ph,nitrogen_level,growth_stage,in_high_risk_region,soil_type,ann_rainfall_mm,disease,severity,is_diseased
39.1,43.1,5.0,3.9,4,Tomato,Nagpur,Maharashtra,21.14,79.08,2,0,3.5,0,38.0,15.1,30.0,0.9,6.7,135.2,2,1,black_cotton,1025,Tomato___Spider_mites Two-spotted_spider_mite,40.0,1
25.6,90.7,10.7,17.8,4,Corn,Nagpur,Maharashtra,21.14,79.08,7,5,10.8,6,77.4,11.8,2.3,9.5,6.77,126.2,2,1,black_cotton,1025,Corn_(maize)___Common_rust_,34.3,1
23.8,91.2,10.0,6.8,10,Tomato,Gaya,Bihar,24.79,84.99,3,2,21.5,10,75.2,6.9,0.6,12.0,6.2,157.0,3,1,alluvial,968,Tomato___Leaf_Mold,37.7,1
20.7,60.5,18.6,7.2,4,Cherry,Dharwad,Karnataka,15.45,75.01,0,0,5.6,2,65.5,14.5,9.5,3.1,6.7,126.7,2,0,black_cotton,742,Cherry_(including_sour)___healthy,0.0,0
18.9,98.1,13.3,3.6,10,Tomato,Siliguri,West Bengal,26.72,88.43,2,1,16.1,13,67.6,5.4,3.9,9.9,6.2,256.6,3,1,alluvial,2888,Tomato___Leaf_Mold,49.1,1
13.1,81.5,5.5,17.0,6,Apple,Kullu,Himachal Pradesh,31.95,77.1,2,2,16.1,5,79.6,4.0,1.1,8.7,5.85,112.6,1,1,red_laterite,1262,Apple___Cedar_apple_rust,52.3,1
23.2,77.5,13.6,5.4,3,Potato,Bathinda,Punjab,30.21,74.94,2,0,6.8,2,52.2,6.8,11.5,3.4,6.2,136.2,2,1,alluvial,404,Potato___Early_blight,62.4,1
25.1,85.7,38.9,17.5,4,Peach,Shimla,Himachal Pradesh,31.1,77.17,0,1,14.5,5,70.9,7.9,2.5,6.4,6.13,145.1,2,1,red_laterite,1575,Peach___Bacterial_spot,56.1,1
14.3,85.8,35.6,8.8,10,Potato,Solapur,Maharashtra,17.66,75.9,6,0,19.7,11,87.7,4.5,0.7,8.2,6.7,199.4,3,0,black_cotton,520,Potato___Late_blight,68.6,1
20.0,54.9,13.5,7.5,9,Strawberry,Surat,Gujarat,21.17,72.83,1,1,2.1,0,48.1,5.1,8.6,1.5,6.2,136.9,2,0,alluvial,1168,Strawberry___healthy,0.0,0
